Site,Model,RMSE_log,R2_log,MAE_log,WAPE_log_percent,sMAPE_log_percent,RMSE_raw_kwh,MAE_raw_kwh
0,Persistence (lag-1),0.15135119509774497,0.9971868326816168,0.040408327807454694,1.1278050027868136,0.9284865292357695,32.68080517082495,11.229105385143537
0,LightGBM (No Enthalpy),3.295441514965694,-0.3336782581120856,2.9141667297986964,38.85512780072993,103.12638678393907,788.7398812336752,453.5538286555599
0,LightGBM + Lag Features,0.2284394166818948,0.9935913590678632,0.14433055344947035,1.6440599953866664,75.64276402386815,77.71255617894536,28.374100327945595
0,LightGBM + Enthalpy + Lag,0.2077690602236495,0.9946986606522971,0.1302615816362463,1.842420746349499,75.77038786480381,80.9858773742038,31.17600279634664
0,XGBoost + Lag Features,0.3938240866478442,0.9809529201181474,0.24142101194905774,2.1466653732742866,75.97238586652225,78.0382814587296,27.804384819086106
0,CatBoost + Lag Features,0.25950960190645117,0.9917295199728754,0.16025870148095842,1.3146060760665907,75.47155632880249,45.89186302536827,17.02487087043528
1,Persistence (lag-1),0.08101979926239762,0.9883226717172153,0.050058171120785,1.4816793040166087,1.5135545922083629,4.4608057296815495,2.131179532953445
1,LightGBM (No Enthalpy),2.0783299489384635,-6.68404953280019,1.7825015831274194,52.76053131713616,69.65394971668886,73.99439543018717,57.996707185112285
1,LightGBM + Lag Features,0.07013812679159076,0.9912487621114784,0.04948914028950508,1.464836475220078,1.5538594520708402,3.426536500357591,1.8962108865365292
1,LightGBM + Enthalpy + Lag,0.07223861681734615,0.9907167508281315,0.05087884720465726,1.5059706183325254,1.5929476651252457,3.568774189511768,1.9725367907756013
1,XGBoost + Lag Features,0.07185061655979125,0.9908162053900127,0.05014720387095012,1.4843145977228256,1.5775744721926337,3.550333903909699,1.933108278426667
1,CatBoost + Lag Features,0.07060471926568339,0.9911319399540194,0.05026008601083478,1.4876558130871793,1.5736222852545199,3.4898509825930617,1.9488271406683573
2,Persistence (lag-1),0.15747751478170077,0.9855145695909062,0.07191359303492964,1.5753943482857322,2.072250515133636,18.952581434032446,7.580630327538788
2,LightGBM (No Enthalpy),1.8255687013508606,-0.9466624959162238,1.3620458343066941,29.778295802040226,35.39474159182284,233.88032047887862,146.28682906334777
2,LightGBM + Lag Features,0.13460171261705065,0.9894173247133119,0.06823213869941314,1.4672229823908323,2.277099456120423,21.508358498364533,9.347403468862847
2,LightGBM + Enthalpy + Lag,0.13470700935778745,0.9894007609259422,0.06976296180145967,1.5102429541624651,2.3219700947759896,21.99835913073592,9.703243030145604
2,XGBoost + Lag Features,0.13954617043253378,0.9886255568473192,0.0713358588073342,1.5295874313678637,2.376984360587402,25.003857624478233,10.604573395245877
2,CatBoost + Lag Features,0.14201631060802983,0.9882193093654988,0.07760155716478692,1.6832719471795605,2.5054637104460515,31.483420944169005,13.368584174121494
3,Persistence (lag-1),0.14534786716020662,0.9824392245167891,0.07253699660769915,2.0732820795205584,2.839871089396591,7.939061815325783,3.2746208119512374
