seq_len,seed,val_rmse_log,seconds
24,42,0.1981417396766143,36.56929753099996
24,43,0.20239146454324133,36.24937184200007
24,44,0.20160114450158223,36.13253234299998
24,45,0.19932648606630923,35.932357542999966
24,46,0.200838831797262,36.01726863700003
48,42,0.20651489319505353,41.76816091300009
48,43,0.21138898780420534,41.95244925399993
48,44,0.21120790527718292,42.02726129100006
48,45,0.2085432048522389,41.91132970900003
48,46,0.20891182968346178,41.62327651500004
168,42,0.20311764557069048,71.15178921300003
168,43,0.20622758707453212,71.70362432899992
168,44,0.20796210274795696,71.37630404700008
168,45,0.20207028559875015,71.15563653299978
168,46,0.20493992281345702,71.19013640499998
